transaction_id,customer_id,amount,timestamp,payment_method,merchant_category,customer_avg_amount,customer_transaction_count,account_age_days,device_id,device_age_days,is_new_device,transaction_location,customer_location,transactions_last_10min,failed_attempts_last_10min,is_fraud
TX145332,C10649,675.74,2026-07-27 11:55:07,Credit Card,Travel,738.48,106,1043,D20649,226,0,Delhi,Delhi,2,0,0
TX134985,C10448,1772.08,2026-07-27 11:55:10,Credit Card,Retail,1879.1,280,501,D20448,232,0,Kolkata,Mumbai,1,0,0
TX119268,C11381,1088.59,2026-07-27 11:55:11,UPI,Food & Beverage,1017.01,282,538,D21381,232,0,Ahmedabad,Ahmedabad,1,0,0
TX120501,C10031,1717.4,2026-07-27 11:56:25,UPI,Services,3428.9,42,1081,D20031,242,0,Mumbai,Mumbai,3,0,0
TX133776,C11473,2623.86,2026-07-27 11:56:31,UPI,Services,1924.93,293,1129,D21473,295,0,Pune,Pune,1,0,0
TX100520,C10318,2158.53,2026-07-27 11:56:54,Net Banking,Electronics,1453.61,171,96,D20318,268,0,Chennai,Chennai,1,0,0
TX147834,C10592,1679.74,2026-07-27 11:57:04,UPI,Entertainment,1078.22,296,1026,D20592,233,0,Chennai,Chennai,1,0,0
TX109746,C10530,4519.77,2026-07-27 11:57:28,UPI,Travel,5831.39,241,597,D20530,287,0,Ahmedabad,Ahmedabad,1,1,0
TX108699,C11370,4505.06,2026-07-27 11:58:14,UPI,Travel,5090.5,197,828,D21370,98,0,Chennai,Chennai,2,0,0
TX130207,C11002,21287.65,2026-07-27 11:59:32,Net Banking,Food & Beverage,10335.1,71,607,D21002,99,0,Bengaluru,Bengaluru,2,0,0
TX138751,C10613,4051.41,2026-07-27 12:00:50,Debit Card,Food & Beverage,5686.03,290,262,D20613,192,0,Hyderabad,Hyderabad,1,0,0
TX106860,C11110,537.1,2026-07-27 12:03:10,UPI,Food & Beverage,506.06,74,604,D21110,255,0,Hyderabad,Hyderabad,1,0,0
TX131312,C10160,1966.16,2026-07-27 12:04:06,UPI,Food & Beverage,1310.25,226,1165,D20160,126,0,Mumbai,Mumbai,1,0,0
TX148020,C10881,2672.43,2026-07-27 12:05:13,UPI,Travel,3300.9,135,118,D20881,169,0,Hyderabad,Hyderabad,1,0,0
TX133852,C11112,12740.56,2026-07-27 12:05:23,UPI,Entertainment,9186.91,159,956,D21112,251,0,Bengaluru,Pune,1,0,0
TX131324,C10351,2423.57,2026-07-27 12:05:24,UPI,Food & Beverage,1979.43,20,685,D20351,324,0,Mumbai,Mumbai,3,0,0
TX131360,C11121,549.12,2026-07-27 12:06:42,Debit Card,Travel,791.6,136,376,D21121,139,0,Bengaluru,Bengaluru,2,0,0
TX104490,C10696,2338.47,2026-07-27 12:06:50,Credit Card,Food & Beverage,2406.44,220,1134,D20696,274,0,Hyderabad,Hyderabad,1,0,0
TX143936,C10353,2176.53,2026-07-27 12:06:52,Net Banking,Entertainment,2015.77,161,767,D20353,219,0,Delhi,Delhi,1,0,0
TX139160,C10670,1228.74,2026-07-27 12:08:16,UPI,Electronics,1011.08,19,792,D20670,205,0,Hyderabad,Hyderabad,1,0,0
TX147037,C10259,748.61,2026-07-27 12:12:20,Net Banking,Services,696.42,181,907,D20259,164,0,Chennai,Chennai,1,0,0
TX148435,C11397,1813.65,2026-07-27 12:12:23,UPI,Services,2099.07,137,407,D56302,0,1,Pune,Pune,1,0,0
TX135339,C10206,13690.85,2026-07-27 12:12:24,UPI,Entertainment,12306.29,107,807,D20206,173,0,Ahmedabad,Ahmedabad,2,0,0
TX146900,C10775,952.13,2026-07-27 12:13:29,Net Banking,Retail,1206.23,142,236,D20775,286,0,Hyderabad,Hyderabad,1,0,0
TX135404,C10372,6858.02,2026-07-27 12:15:27,UPI,Travel,8246.75,224,603,D20372,140,0,Kolkata,Kolkata,1,0,0
TX131292,C11433,333.81,2026-07-27 12:16:21,Net Banking,Entertainment,518.83,292,600,D21433,266,0,Delhi,Delhi,1,0,0
TX126445,C11066,3391.3,2026-07-27 12:18:45,Credit Card,Entertainment,2963.57,250,572,D21066,318,0,Chennai,Chennai,1,0,0
TX131237,C10901,3472.92,2026-07-27 12:20:01,UPI,Food & Beverage,2533.74,251,983,D20901,39,0,Kolkata,Hyderabad,2,0,0
TX122856,C11247,1401.32,2026-07-27 12:20:04,UPI,Retail,1850.28,191,897,D21247,127,0,Kolkata,Kolkata,1,0,0
TX122226,C11396,9700.96,2026-07-27 12:20:56,UPI,Travel,10331.22,297,1197,D21396,343,0,Chennai,Chennai,1,0,0
