transaction_id,customer_id,amount,timestamp,customer_avg_amount,customer_transaction_count,account_age_days,device_id,device_age_days,is_new_device,transaction_location,customer_location,transactions_last_10min,failed_attempts_last_10min,is_fraud,amount_ratio,location_mismatch,high_velocity,high_failed_attempts,new_account,payment_method,merchant_category,pay_Credit Card,pay_Debit Card,pay_Net Banking,pay_UPI,cat_Electronics,cat_Entertainment,cat_Food & Beverage,cat_Retail,cat_Services,cat_Travel
TX145332,C10649,675.74,2026-07-27 11:55:07,738.48,106,1043,D20649,226,0,Delhi,Delhi,2,0,0,0.915041707290651,0,0,0,0,Credit Card,Travel,1,0,0,0,0,0,0,0,0,1
TX134985,C10448,1772.08,2026-07-27 11:55:10,1879.1,280,501,D20448,232,0,Kolkata,Mumbai,1,0,0,0.9430472034484594,1,0,0,0,Credit Card,Retail,1,0,0,0,0,0,0,1,0,0
TX119268,C11381,1088.59,2026-07-27 11:55:11,1017.01,282,538,D21381,232,0,Ahmedabad,Ahmedabad,1,0,0,1.070382788763139,0,0,0,0,UPI,Food & Beverage,0,0,0,1,0,0,1,0,0,0
TX120501,C10031,1717.4,2026-07-27 11:56:25,3428.9,42,1081,D20031,242,0,Mumbai,Mumbai,3,0,0,0.5008603342179708,0,0,0,0,UPI,Services,0,0,0,1,0,0,0,0,1,0
TX133776,C11473,2623.86,2026-07-27 11:56:31,1924.93,293,1129,D21473,295,0,Pune,Pune,1,0,0,1.3630937228886246,0,0,0,0,UPI,Services,0,0,0,1,0,0,0,0,1,0
TX100520,C10318,2158.53,2026-07-27 11:56:54,1453.61,171,96,D20318,268,0,Chennai,Chennai,1,0,0,1.484944379854294,0,0,0,0,Net Banking,Electronics,0,0,1,0,1,0,0,0,0,0
TX147834,C10592,1679.74,2026-07-27 11:57:04,1078.22,296,1026,D20592,233,0,Chennai,Chennai,1,0,0,1.5578824358665206,0,0,0,0,UPI,Entertainment,0,0,0,1,0,1,0,0,0,0
TX109746,C10530,4519.77,2026-07-27 11:57:28,5831.39,241,597,D20530,287,0,Ahmedabad,Ahmedabad,1,1,0,0.7750759252939694,0,0,0,0,UPI,Travel,0,0,0,1,0,0,0,0,0,1
TX108699,C11370,4505.06,2026-07-27 11:58:14,5090.5,197,828,D21370,98,0,Chennai,Chennai,2,0,0,0.8849936155583932,0,0,0,0,UPI,Travel,0,0,0,1,0,0,0,0,0,1
TX130207,C11002,21287.65,2026-07-27 11:59:32,10335.1,71,607,D21002,99,0,Bengaluru,Bengaluru,2,0,0,2.0597430116786484,0,0,0,0,Net Banking,Food & Beverage,0,0,1,0,0,0,1,0,0,0
TX138751,C10613,4051.41,2026-07-27 12:00:50,5686.03,290,262,D20613,192,0,Hyderabad,Hyderabad,1,0,0,0.7125199831868633,0,0,0,0,Debit Card,Food & Beverage,0,1,0,0,0,0,1,0,0,0
TX106860,C11110,537.1,2026-07-27 12:03:10,506.06,74,604,D21110,255,0,Hyderabad,Hyderabad,1,0,0,1.0613366004031144,0,0,0,0,UPI,Food & Beverage,0,0,0,1,0,0,1,0,0,0
TX131312,C10160,1966.16,2026-07-27 12:04:06,1310.25,226,1165,D20160,126,0,Mumbai,Mumbai,1,0,0,1.5005991223049038,0,0,0,0,UPI,Food & Beverage,0,0,0,1,0,0,1,0,0,0
TX148020,C10881,2672.43,2026-07-27 12:05:13,3300.9,135,118,D20881,169,0,Hyderabad,Hyderabad,1,0,0,0.8096064709624647,0,0,0,0,UPI,Travel,0,0,0,1,0,0,0,0,0,1
TX133852,C11112,12740.56,2026-07-27 12:05:23,9186.91,159,956,D21112,251,0,Bengaluru,Pune,1,0,0,1.386816677207026,1,0,0,0,UPI,Entertainment,0,0,0,1,0,1,0,0,0,0
TX131324,C10351,2423.57,2026-07-27 12:05:24,1979.43,20,685,D20351,324,0,Mumbai,Mumbai,3,0,0,1.2243777249006027,0,0,0,0,UPI,Food & Beverage,0,0,0,1,0,0,1,0,0,0
TX131360,C11121,549.12,2026-07-27 12:06:42,791.6,136,376,D21121,139,0,Bengaluru,Bengaluru,2,0,0,0.6936836786255685,0,0,0,0,Debit Card,Travel,0,1,0,0,0,0,0,0,0,1
TX104490,C10696,2338.47,2026-07-27 12:06:50,2406.44,220,1134,D20696,274,0,Hyderabad,Hyderabad,1,0,0,0.971754957530626,0,0,0,0,Credit Card,Food & Beverage,1,0,0,0,0,0,1,0,0,0
TX143936,C10353,2176.53,2026-07-27 12:06:52,2015.77,161,767,D20353,219,0,Delhi,Delhi,1,0,0,1.0797511620869447,0,0,0,0,Net Banking,Entertainment,0,0,1,0,0,1,0,0,0,0
TX139160,C10670,1228.74,2026-07-27 12:08:16,1011.08,19,792,D20670,205,0,Hyderabad,Hyderabad,1,0,0,1.215274755706769,0,0,0,0,UPI,Electronics,0,0,0,1,1,0,0,0,0,0
